Facility Code,Facility Name,Division,Type,Owner,Location,Constituency,Beds,Cots,Job Title of in Charge,Open 24 Hours,Open Weekends,Operational Status,ART,C-IMCI,FP,HBC,IPD,Mapped_Constituency,Constituencies,Total Population,Male Population,Female Population
17411,mama lucy kibaki hospital - embakasi,embakasi,district hospital,ministry of health,umoja,embakasi west,112,12,medical superintendant,y,y,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
16169,lady northey dispensary,kilimani,dental clinic,local authority,kilimani,dagoretti north,0,0,,n,n,operational,n,n,n,n,n,dagoretti,DAGORETTI,"434,208","217,651","216,526"
13039,lagos road dispensary,central,dispensary,local authority,central business district,starehe,0,0,nursing officer in charge,n,n,operational,n,n,y,y,y,starehe,STAREHE,"210,423","109,173","101,238"
19993,laini saba health services,kibra,medical clinic,private practice - general practitioner,laini saba,kibra,0,0,,y,y,operational,n,n,n,n,n,kibra,KIBRA,"185,777","94,199","91,569"
18991,lakeside medical,lang'ata,medical clinic,private practice - clinical officer,sarang'ombe,lang'ata,0,0,clinical officer,n,y,operational,n,n,n,n,n,langata,LANGATA,"197,489","96,698","100,774"
13040,landmawe medical services,makadara,medical clinic,private enterprise (institution),makongeni,makadara,10,0,nursing officer in charge,y,y,operational,n,n,y,y,y,makadara,MAKADARA,"189,536","96,369","93,157"
17384,lang'ata comprehensive medical service,lang'ata,medical clinic,private practice - medical specialist,mugumoini,lang'ata,0,0,doctor in charge,n,n,operational,n,n,n,n,n,langata,LANGATA,"197,489","96,698","100,774"
13041,langata health centre,lang'ata,health centre,local authority,mugumoini,lang'ata,20,0,nursing officer in charge,n,n,operational,y,y,y,y,y,langata,LANGATA,"197,489","96,698","100,774"
13042,langata hospital,lang'ata,other hospital,private enterprise (institution),mugumoini,lang'ata,20,0,hospital director,y,y,operational,n,y,y,n,y,langata,LANGATA,"197,489","96,698","100,774"
13044,langata women prison dispensary,lang'ata,dispensary,ministry of health,mugumoini,lang'ata,0,0,nursing officer in charge,n,y,operational,n,y,y,y,y,langata,LANGATA,"197,489","96,698","100,774"
19503,latema medical services (nairobi),central,medical clinic,private practice - unspecified,central,starehe,0,0,,n,n,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
13045,lea toto,kasarani,vct centre (stand-alone),non-governmental organizations,kariobangi,kasarani,0,0,,n,n,operational,n,n,n,y,n,kasarani,KASARANI,"780,656","381,234","399,385"
16800,lea toto clinic (westlands),kangemi,medical clinic,non-governmental organizations,kangemi,westlands,0,0,,n,n,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
13047,lea toto clinic kariobangi south,kariobangi south,medical clinic,non-governmental organizations,kariobangi south,kasarani,0,0,,n,n,operational,y,n,y,y,y,kasarani,KASARANI,"780,656","381,234","399,385"
17720,lea toto community mukuru reuben,embakasi,dispensary,other faith based,mukuru,embakasi south,0,0,clinical officer,n,n,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
13046,lea toto dagoretti,dagoretti,vct centre (stand-alone),non-governmental organizations,satelite,dagoretti south,0,0,nursing officer in charge,n,n,operational,y,n,n,y,n,dagoretti,DAGORETTI,"434,208","217,651","216,526"
19914,lea toto kawangware,kawangware,medical clinic,non-governmental organizations,kawangware,dagoretti south,0,0,hospital director,n,n,operational,n,n,n,n,n,dagoretti,DAGORETTI,"434,208","217,651","216,526"
13048,lea toto kibera,kibra,medical clinic,non-governmental organizations,sarang'ombe,kibra,0,0,nursing officer in charge,n,n,operational,y,n,n,y,n,kibra,KIBRA,"185,777","94,199","91,569"
18828,lea toto mwiki,roysambu,vct centre (stand-alone),non-governmental organizations,githurai,roysambu,0,0,,n,n,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
18590,lengo medical clinic,south b,medical clinic,private practice - nurse / midwife,mukuru nyayo,starehe,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
13049,lianas clinic health centre,kangemi,medical clinic,private enterprise (institution),kangemi,westlands,9,3,nursing officer in charge,y,y,operational,n,n,y,n,y,westlands,WESTLANDS,"308,854","153,818","155,021"
19374,manasco medical centre (roysambu),kasarani,medical clinic,private practice - general practitioner,roysambu,roysambu,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
19623,kinga medical clinic (dandora),dandora,medical clinic,private practice - general practitioner,dandora,embakasi north,0,0,nursing officer in charge,n,y,not-operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
19436,kings cross medical clinic,kayole,medical clinic,private practice - nurse / midwife,kayole,embakasi central,2,1,clinical officer,y,y,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
19625,kinmed medical clinic (dandora),dandora,medical clinic,private practice - general practitioner,dandora,kasarani,0,0,,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
13035,kisembo dispensary,kibra,dispensary,private enterprise (institution),makina,kibra,0,0,clinical officer,n,n,operational,n,n,y,y,y,kibra,KIBRA,"185,777","94,199","91,569"
19508,local aid organization,riruta,dispensary,private enterprise (institution),riruta,dagoretti north,0,0,nursing officer in charge,n,n,operational,n,n,n,n,n,dagoretti,DAGORETTI,"434,208","217,651","216,526"
13051,loco dispensary,makadara,dispensary,other public institution,makongeni,starehe,0,0,nursing officer in charge,n,n,operational,y,n,y,y,y,starehe,STAREHE,"210,423","109,173","101,238"
13036,kivuli dispensary,dagoretti,dispensary,kenya episcopal conference-catholic secretariat,riruta,dagoretti south,0,0,clinical officer,n,n,operational,y,n,y,y,y,dagoretti,DAGORETTI,"434,208","217,651","216,526"
13013,kenya aids vaccine initiative (kavi),kangemi,health project,academic (if registered),kangemi,westlands,0,0,,n,n,operational,y,n,n,y,n,westlands,WESTLANDS,"308,854","153,818","155,021"
18261,kenya airports employees association,embakasi,medical clinic,company medical service,embakasi,embakasi east,4,1,hospital director,n,n,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
13021,kenya airways medical centre,starehe,medical clinic,private practice - unspecified,city square,starehe,0,0,doctor in charge,n,y,operational,n,n,n,y,n,starehe,STAREHE,"210,423","109,173","101,238"
18385,kenya association of pofessional counsellors (kapc,parklands,training institution in health (stand-alone),non-governmental organizations,parklands,westlands,0,0,hospital director,n,y,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
20303,kenya institute of special education dispensary,kasarani,dispensary,academic (if registered),kasarani,kasarani,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
20371,kenya police staff college clinic,kitisuru,dispensary,academic (if registered),girigiri,westlands,0,0,clinical officer,y,y,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
13022,kenya utalii dispensary,kasarani,dispensary,private enterprise (institution),kasarani,ruaraka,0,0,,n,n,operational,n,n,n,y,n,kasarani,KASARANI,"780,656","381,234","399,385"
13023,kenyatta national hospital,kibra,national referral hospital,ministry of health,golfcourse,kibra,1455,427,hospital director,y,y,operational,y,y,y,y,y,kibra,KIBRA,"185,777","94,199","91,569"
13024,kenyatta university dispensary,kasarani,dispensary,other public institution,githurai,roysambu,0,0,,n,n,operational,n,n,y,y,y,kasarani,KASARANI,"780,656","381,234","399,385"
12863,aar thika road clinic,kasarani,medical clinic,private enterprise (institution),kasarani,roysambu,0,0,medical superintendant,n,n,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
12864,abandoned child care,dagoretti south,dispensary,non-governmental organizations,uthiru/ruthimitu,dagoretti south,0,0,nursing officer in charge,n,n,operational,n,y,y,n,y,dagoretti,DAGORETTI,"434,208","217,651","216,526"
19354,abdallah dental clinic (barclays plaza-nairobi),central,dental clinic,private practice - unspecified,central,starehe,0,0,doctor in charge,n,n,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
19441,abra health services,savannah,medical clinic,private practice - unspecified,savannah,embakasi west,2,1,,n,y,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
19562,abraham memorial nursing home (westlands),kangemi,maternity home,private enterprise (institution),kangemi,westlands,6,1,,y,y,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
19413,acacia medical centre (nairobi),central,medical clinic,private practice - general practitioner,central,starehe,0,0,,n,y,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
19467,access afya,nairobi south,medical clinic,private practice - general practitioner,mukuru nyayo,starehe,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
21158,access afya medical centre viwandani,viwandani,medical clinic,private practice - medical specialist,viwandani,makadara,4,1,medical superintendant,n,y,operational,n,n,n,n,n,makadara,MAKADARA,"189,536","96,369","93,157"
20360,maximum medical centre,kasarani,medical clinic,private practice - unspecified,kasarani,kasarani,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
13079,mayflower clinic,embakasi,medical clinic,private enterprise (institution),mukuru,embakasi south,0,0,,n,n,operational,n,n,y,y,y,embakasi,EMBAKASI,"988,808","492,476","496,270"
21271,maylaurels medical centre,embakasi,medical clinic,private practice - clinical officer,embakasi,embakasi east,0,0,clinical officer,y,y,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
13080,mbagathi district hospital,kibra,district hospital,ministry of health,golfcourse,kibra,200,10,medical superintendant,y,y,operational,y,y,y,y,y,kibra,KIBRA,"185,777","94,199","91,569"
13081,mbotela clinic,makadara,medical clinic,local authority,maringo,makadara,0,0,nursing officer in charge,n,n,operational,n,n,y,n,y,makadara,MAKADARA,"189,536","96,369","93,157"
19482,medanta africare,parklands,medical centre,private practice - general practitioner,parklands,westlands,0,0,,n,y,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
20573,medanta africare krishna park,parklands,laboratory (stand-alone),private practice - medical specialist,parklands,westlands,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
19505,medanta africare medical centre,westlands,medical centre,private enterprise (institution),westlands,westlands,13,0,hospital director,n,y,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
20451,medecins du monde/france (kangemi kang'ora),kangemi,health programme,humanitarian agencies,kang'ora,westlands,0,0,clinical officer,n,n,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
19099,medical and dental clinic,lang'ata,medical clinic,private practice - medical specialist,karen,lang'ata,0,0,doctor in charge,n,y,operational,n,n,n,n,n,langata,LANGATA,"197,489","96,698","100,774"
19496,medical clinic,kangemi,medical clinic,private practice - clinical officer,kangemi,westlands,0,0,clinical officer,n,y,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
19493,medical link integrated health program,viwandani,medical clinic,non-governmental organizations,viwandani,makadara,0,0,clinical officer,n,y,pending opening,n,n,n,n,n,makadara,MAKADARA,"189,536","96,369","93,157"
13082,medical reception dispensary,kasarani,dispensary,private enterprise (institution),roysambu,roysambu,0,0,,n,n,operational,y,n,y,y,y,kasarani,KASARANI,"780,656","381,234","399,385"
13083,medicare clinic,central,medical clinic,private enterprise (institution),central business district,starehe,0,0,,n,n,operational,y,y,y,y,y,starehe,STAREHE,"210,423","109,173","101,238"
19525,medimark health care,parklands,medical clinic,private practice - general practitioner,parklands,westlands,0,0,,n,y,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
19519,medisafe medical labaratoty,central,laboratory (stand-alone),private practice - general practitioner,central,starehe,0,0,,n,n,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
13085,med-point dispensary,kasarani,dispensary,private enterprise (institution),kahawa,kasarani,0,0,,n,n,operational,n,n,n,y,n,kasarani,KASARANI,"780,656","381,234","399,385"
13086,melchezedek hospital,dagoretti,other hospital,private enterprise (institution),kawangware,dagoretti north,20,4,nursing officer in charge,y,y,operational,n,y,y,y,y,dagoretti,DAGORETTI,"434,208","217,651","216,526"
20072,melchizedek hospital karen,lang'ata,medical clinic,private enterprise (institution),karen,lang'ata,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,langata,LANGATA,"197,489","96,698","100,774"
13087,memorial hospital,dagoretti,other hospital,armed forces,golfcourse,kibra,0,0,,n,n,operational,y,y,y,y,n,kibra,KIBRA,"185,777","94,199","91,569"
13088,mercillin afya centre,kibra,maternity home,community,kibra,kibra,5,0,nursing officer in charge,y,y,operational,n,n,y,y,y,kibra,KIBRA,"185,777","94,199","91,569"
19319,mercy medical services,central,medical clinic,private practice - general practitioner,central,starehe,0,0,,n,n,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
13089,mercy mission health centre,dagoretti,health centre,other faith based,kawangware,dagoretti north,5,0,,y,y,operational,n,n,y,y,y,dagoretti,DAGORETTI,"434,208","217,651","216,526"
13109,meridian equator hospital,lang'ata,other hospital,private enterprise (institution),nairobi west,lang'ata,54,0,nursing officer in charge,y,y,operational,n,y,y,y,y,langata,LANGATA,"197,489","96,698","100,774"
13084,meridian medical centre (buruburu),makadara,medical clinic,private enterprise (institution),makadara,makadara,0,0,doctor in charge,n,y,operational,n,n,y,n,y,makadara,MAKADARA,"189,536","96,369","93,157"
18591,meridian medical centre (capital centre),south b,medical clinic,private practice - general practitioner,mukuru nyayo,starehe,0,0,,n,y,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
19395,meridian medical centre (loita street),central,medical clinic,private practice - general practitioner,central,starehe,0,0,,n,n,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
19550,meridian medical centre (penson towers),central,medical clinic,private practice - general practitioner,central,starehe,0,0,,n,y,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
20104,meridian medical centre(nation centre bldg ),central,medical centre,private practice - general practitioner,city center,starehe,0,0,hospital director,n,y,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
17727,meridian medical donholm clinic,embakasi,medical clinic,private practice - general practitioner,umoja,embakasi west,1,0,nursing officer in charge,y,y,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
19463,metropolitan dr plaza,makadara,medical clinic,private practice - general practitioner,harambee,makadara,0,0,doctor in charge,n,n,operational,n,n,n,n,n,makadara,MAKADARA,"189,536","96,369","93,157"
13090,metropolitan hospital nairobi,makadara,other hospital,private enterprise (institution),makadara,makadara,46,8,nursing officer in charge,y,y,operational,y,y,y,y,y,makadara,MAKADARA,"189,536","96,369","93,157"
13091,mid hill medical clinic,dagoretti,health centre,private enterprise (institution),kawangware,dagoretti north,10,0,nursing officer in charge,y,y,operational,n,y,y,y,y,dagoretti,DAGORETTI,"434,208","217,651","216,526"
19633,mid-point health services,kasarani,medical clinic,private practice - general practitioner,roysambu,roysambu,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
20018,milele integrated medical services,kasarani,medical clinic,private practice - general practitioner,githurai,roysambu,0,0,nursing officer in charge,y,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
20537,miliki afya limited,riruta,medical clinic,private practice - general practitioner,riruta,dagoretti south,0,0,hospital director,n,y,operational,n,n,n,n,n,dagoretti,DAGORETTI,"434,208","217,651","216,526"
19478,millenium dental clinic,makadara,medical clinic,private practice - general practitioner,makadara,makadara,0,0,doctor in charge,n,y,operational,n,n,n,n,n,makadara,MAKADARA,"189,536","96,369","93,157"
13092,ministry of education (moest) vct centre,central,vct centre (stand-alone),other public institution,central business district,starehe,0,0,,n,n,operational,n,n,n,y,n,starehe,STAREHE,"210,423","109,173","101,238"
13093,mji wa huruma dispensary,karura,dispensary,local authority,runda,westlands,0,0,nursing officer in charge,n,n,operational,n,y,y,y,y,westlands,WESTLANDS,"308,854","153,818","155,021"
13094,mkunga clinic,dandora,medical clinic,private enterprise (institution),dandora,kasarani,6,0,nursing officer in charge,n,n,operational,n,n,y,y,y,kasarani,KASARANI,"780,656","381,234","399,385"
18275,mmak embakasi stand alone vct,embakasi,vct centre (stand-alone),non-governmental organizations,mukuru,embakasi south,0,0,,n,n,not-operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
13095,moi air base hospital,eastleigh north,other hospital,ministry of health,eastleigh section i,kamukunji,0,0,,n,n,operational,y,y,y,n,y,kamukunji,KAMUKUNJI,"268,276","136,670","131,599"
13096,mother & child hospital,eastleign south,dispensary,private enterprise (institution),eastleigh section iii,kamukunji,32,6,nursing officer in charge,y,y,operational,y,n,y,y,y,kamukunji,KAMUKUNJI,"268,276","136,670","131,599"
19277,mother & child meridian & lab services,kasarani,medical clinic,private practice - general practitioner,githurai,roysambu,0,0,medical superintendant,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
17724,mother ippolata mukuru clinic,embakasi,dispensary,kenya episcopal conference-catholic secretariat,mukuru,embakasi south,3,0,nursing officer in charge,n,n,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
13097,mow dispensary,makadara,dispensary,other public institution,viwandani,starehe,0,0,nursing officer in charge,n,n,operational,y,n,y,y,y,starehe,STAREHE,"210,423","109,173","101,238"
13098,mp shah hospital (westlands),parklands,other hospital,private enterprise (institution),parklands,westlands,0,0,hospital director,y,y,operational,y,y,y,y,y,westlands,WESTLANDS,"308,854","153,818","155,021"
20049,msf- green house clinic,eastleigh north,medical clinic,non-governmental organizations,eastleigh,kamukunji,3,0,,n,y,operational,n,n,n,n,n,kamukunji,KAMUKUNJI,"268,276","136,670","131,599"
20050,msf- lavender house clinic,eastleigh north,medical clinic,non-governmental organizations,eastleigh,kamukunji,3,0,,n,n,operational,n,n,n,n,n,kamukunji,KAMUKUNJI,"268,276","136,670","131,599"
17651,msf olympic centre,kibra,medical clinic,non-governmental organizations,sarang'ombe,kibra,0,0,,n,y,operational,n,n,n,n,n,kibra,KIBRA,"185,777","94,199","91,569"
17455,mtaani vct,kibra,vct centre (stand-alone),community,laini saba,kibra,0,0,,n,y,operational,n,n,n,n,n,kibra,KIBRA,"185,777","94,199","91,569"
13025,kesha vct,dagoretti north,vct centre (stand-alone),private enterprise (institution),kawangware,dagoretti north,0,0,,n,n,operational,n,n,n,y,n,dagoretti,DAGORETTI,"434,208","217,651","216,526"
13037,kmtc dispensary,kibra,vct centre (stand-alone),ministry of health,golfcourse,kibra,0,0,,n,n,operational,n,n,n,n,n,kibra,KIBRA,"185,777","94,199","91,569"
20621,kianda 42 community clinic,kibra,dispensary,ministry of health,sarang'ombe,kibra,0,0,nursing officer in charge,n,n,operational,n,n,n,n,n,kibra,KIBRA,"185,777","94,199","91,569"
20325,kibera cfw clinic,kibra,medical clinic,private enterprise (institution),sarang'ombe,kibra,0,0,nursing officer in charge,n,n,operational,n,n,n,n,n,kibra,KIBRA,"185,777","94,199","91,569"
12894,kibera chemi chemi ya uzima clinic,kibra,dispensary,christian health association of kenya,kibra,kibra,0,0,nursing officer in charge,n,y,operational,n,n,y,n,y,kibra,KIBRA,"185,777","94,199","91,569"
13028,kibera community health centre - amref,kibra,health centre,non-governmental organizations,laini saba,kibra,4,0,nursing officer in charge,n,y,operational,y,n,y,y,y,kibra,KIBRA,"185,777","94,199","91,569"
13029,kibera d o dispensary,kibra,dispensary,ministry of health,kibra,kibra,0,0,nursing officer in charge,n,n,operational,n,n,y,y,y,kibra,KIBRA,"185,777","94,199","91,569"
18984,kibera highway clinic,kibra,medical clinic,private practice - clinical officer,lindi,kibra,0,0,clinical officer,n,y,operational,n,n,n,n,n,kibra,KIBRA,"185,777","94,199","91,569"
13026,kibera human development clinic,kibra,medical clinic,non-governmental organizations,kibra,kibra,0,0,clinical officer,n,n,operational,n,n,y,n,y,kibra,KIBRA,"185,777","94,199","91,569"
13030,kibera south (msf belgium) health centre,kibra,health centre,non-governmental organizations,kibra,kibra,10,0,nursing officer in charge,n,n,operational,n,n,y,y,y,kibra,KIBRA,"185,777","94,199","91,569"
13031,kie/kapc,central,vct centre (stand-alone),other public institution,central business district,starehe,0,0,,n,n,operational,n,n,n,y,n,starehe,STAREHE,"210,423","109,173","101,238"
13033,kikoshep kenya (mugumoini),langata,medical clinic,non-governmental organizations,mugumoini,lang'ata,0,0,,n,n,operational,n,n,y,y,y,langata,LANGATA,"197,489","96,698","100,774"
13002,kapu medical clinic,embakasi,vct centre (stand-alone),ministry of health,embakasi,embakasi east,0,0,nursing officer in charge,n,n,operational,n,n,y,y,y,embakasi,EMBAKASI,"988,808","492,476","496,270"
20625,karanja road community clinic,kibra,dispensary,ministry of health,kibra,kibra,0,0,nursing officer in charge,n,n,operational,n,n,n,n,n,kibra,KIBRA,"185,777","94,199","91,569"
13003,karen health centre,lang'ata,dispensary,local authority,karen,lang'ata,0,0,nursing officer in charge,n,n,operational,y,n,y,y,y,langata,LANGATA,"197,489","96,698","100,774"
19100,karengata community medical centre,lang'ata,medical clinic,private practice - clinical officer,lang'ata,lang'ata,0,0,clinical officer,n,n,operational,n,n,n,n,n,langata,LANGATA,"197,489","96,698","100,774"
13005,kari health clinic,kitisuru,medical clinic,ministry of health,kitisuru,westlands,0,0,nursing officer in charge,n,n,operational,y,n,y,y,y,westlands,WESTLANDS,"308,854","153,818","155,021"
18743,kariobangi edarp,kasarani,dispensary,kenya episcopal conference-catholic secretariat,kariobangi,kasarani,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
13006,kariobangi health centre,kasarani,dispensary,local authority,kariobangi,kasarani,0,0,nursing officer in charge,n,n,operational,y,n,y,y,y,kasarani,KASARANI,"780,656","381,234","399,385"
17434,kariobangi south clinic,kariobangi south,medical clinic,local authority,kariobangi south,embakasi west,0,0,nursing officer in charge,n,n,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
13007,kariokor clinic,starehe,dispensary,local authority,kariokor,starehe,0,0,nursing officer in charge,n,n,operational,y,n,y,y,y,starehe,STAREHE,"210,423","109,173","101,238"
13008,karma dispensary,kasarani,dispensary,private enterprise (institution),ruaraka,kasarani,0,0,,n,n,operational,n,n,n,y,n,kasarani,KASARANI,"780,656","381,234","399,385"
17995,karomo medical clinic,kariobangi,medical clinic,private enterprise (institution),kariobangi south,kasarani,0,0,clinical officer,n,n,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
13009,karura health centre (kiambu rd),karura,health centre,local authority,muthaiga,westlands,0,0,nursing officer in charge,n,n,operational,n,n,y,n,y,westlands,WESTLANDS,"308,854","153,818","155,021"
17948,kasarani claycity medical centre (kasarani),kasarani,dispensary,private practice - unspecified,kasarani,kasarani,0,0,,y,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
13010,kasarani health centre,kasarani,dispensary,local authority,kariobangi,kasarani,0,0,nursing officer in charge,n,n,operational,y,n,n,y,n,kasarani,KASARANI,"780,656","381,234","399,385"
13011,kasarani maternity,kasarani,maternity home,private practice - nurse / midwife,kasarani,kasarani,60,12,nursing officer in charge,y,y,operational,n,y,y,n,y,kasarani,KASARANI,"780,656","381,234","399,385"
13012,kasarani medical health centre,kasarani,health centre,private enterprise (institution),kasarani,kasarani,0,0,nursing officer in charge,n,n,operational,n,n,y,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
13034,kilimanjaro nursing home,eastleigh north,nursing home,private enterprise (institution),eastleigh section i,kamukunji,11,0,,n,n,operational,n,n,n,n,n,kamukunji,KAMUKUNJI,"268,276","136,670","131,599"
19513,kawangware health centre,kawangware,dispensary,private enterprise (institution),kawangware,dagoretti north,0,0,nursing officer in charge,n,n,operational,n,n,n,n,n,dagoretti,DAGORETTI,"434,208","217,651","216,526"
12996,kahawa garrison health centre,kasarani,health centre,ministry of health,kasarani,roysambu,0,0,,n,n,operational,n,n,y,n,y,kasarani,KASARANI,"780,656","381,234","399,385"
12997,kahawa west health centre,kasarani,health centre,local authority,kahawa,roysambu,24,4,nursing officer in charge,n,n,operational,y,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
19541,kaka medical centre (race course rd),central,medical clinic,private practice - general practitioner,central,starehe,0,0,,n,n,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
12998,kaloleni dispensary,makadara,dispensary,local authority,makongeni,makadara,0,0,nursing officer in charge,n,n,operational,n,n,y,y,y,makadara,MAKADARA,"189,536","96,369","93,157"
12999,kaloleni health servics,makadara,medical clinic,private enterprise (institution),makongeni,makadara,5,0,nursing officer in charge,y,y,operational,n,n,y,y,y,makadara,MAKADARA,"189,536","96,369","93,157"
13014,kayole hospital,embakasi,other hospital,private enterprise (institution),kayole,embakasi central,40,8,,y,y,operational,n,y,y,y,y,embakasi,EMBAKASI,"988,808","492,476","496,270"
13015,kayole i health centre,embakasi,health centre,local authority,kayole,embakasi central,24,1,nursing officer in charge,n,n,operational,n,n,y,y,y,embakasi,EMBAKASI,"988,808","492,476","496,270"
13016,kayole ii sub-district hospital,embakasi,health centre,local authority,kayole,embakasi central,24,1,nursing officer in charge,y,y,operational,y,n,y,y,y,embakasi,EMBAKASI,"988,808","492,476","496,270"
19488,kamili organization,kitisuru,medical clinic,non-governmental organizations,kitisuru,westlands,0,0,nursing officer in charge,y,n,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
18942,kamiti maximum clinic,kasarani,medical clinic,ministry of health,kahawa,roysambu,0,0,,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
13000,kamiti prison hospital,kasarani,other hospital,ministry of health,ruaraka,roysambu,0,0,,n,n,operational,y,n,y,n,y,kasarani,KASARANI,"780,656","381,234","399,385"
19369,kamwitha medcal centre,kasarani,medical clinic,private practice - general practitioner,githurai,roysambu,0,0,clinical officer,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
19536,kangemi gichagi dispensary,kangemi,dispensary,private practice - clinical officer,kangemi,westlands,0,0,,y,y,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
13001,kangemi health centre,kangemi,health centre,local authority,kangemi,westlands,20,0,nursing officer in charge,n,n,operational,y,n,y,y,y,westlands,WESTLANDS,"308,854","153,818","155,021"
20095,kipawa medical centre,ruai,medical clinic,private practice - nurse / midwife,ruai,kasarani,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
18488,jacaranda special school,kileleshwa,training institution in health (stand-alone),other public institution,kileleshwa,dagoretti north,0,0,hospital director,n,n,operational,n,n,n,n,n,dagoretti,DAGORETTI,"434,208","217,651","216,526"
12983,imperial clinic,central,medical clinic,private enterprise (institution),ngara,starehe,0,0,,n,n,operational,y,n,n,y,n,starehe,STAREHE,"210,423","109,173","101,238"
19333,index medical services,kasarani,medical clinic,private practice - general practitioner,githurai,mathare,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,mathare,MATHARE,"206,564","106,522","100,028"
19458,innercore medical clinic,umoja,medical clinic,private practice - unspecified,umoja,embakasi west,2,1,nursing officer in charge,n,y,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
18002,innoculation centre,city square,dispensary,local authority,central business district,starehe,0,0,nursing officer in charge,n,n,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
20158,iom international organization for migration(girigiri),kitisuru,health programme,humanitarian agencies,girigiri,westlands,0,0,,n,n,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
